ICAO,id,ident,type,name,Weight,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,Alaska Airlines,American Airlines,Allegiant Air,Frontier Airlines,JetBlue Airways,Delta Air Lines,United Airlines,SkyWest Airlines,Southwest Airlines,Hawaiian Airlines,airline_count
KSAF,21033,KSAF,medium_airport,Santa Fe Municipal Airport,,35.61709976,-106.0889969,6348,US,US-NM,Santa Fe,N,Y,N,N,N,N,N,Y,N,N,2
KALB,3371,KALB,medium_airport,Albany International Airport,,42.74829865,-73.80169678,285,US,US-NY,Albany,N,Y,Y,Y,Y,Y,Y,Y,Y,N,8
KBUF,3431,KBUF,large_airport,Buffalo Niagara International Airport,,42.94049835,-78.73220062,728,US,US-NY,Buffalo,N,Y,N,Y,Y,Y,Y,Y,Y,N,7
KROC,3855,KROC,large_airport,Greater Rochester International Airport,,43.1189003,-77.67240143,559,US,US-NY,Rochester,N,Y,Y,N,Y,Y,Y,Y,Y,N,7
KSYR,3913,KSYR,large_airport,Syracuse Hancock International Airport,,43.11119843,-76.10630035,421,US,US-NY,Syracuse,N,Y,Y,Y,Y,Y,Y,Y,N,N,7
KGSO,3568,KGSO,large_airport,Piedmont Triad International Airport,,36.09780121,-79.93730164,925,US,US-NC,Greensboro,N,Y,Y,N,N,Y,Y,Y,N,N,5
KILM,3609,KILM,medium_airport,Wilmington International Airport,,34.27059937,-77.90260315,32,US,US-NC,Wilmington,N,Y,N,N,N,Y,Y,N,N,N,3
KBIS,3409,KBIS,medium_airport,Bismarck Municipal Airport,,46.77270126,-100.7460022,1661,US,US-ND,Bismarck,N,Y,Y,Y,N,Y,Y,Y,N,N,6
KFAR,3523,KFAR,medium_airport,Hector International Airport,,46.92070007,-96.81580353,902,US,US-ND,Fargo,N,Y,Y,Y,N,Y,N,Y,N,N,5
KCAK,3439,KCAK,medium_airport,Akron Canton Regional Airport,,40.91609955,-81.44219971,1228,US,US-OH,Akron,N,Y,N,N,N,Y,N,Y,N,N,3
KCVG,3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,Focus,39.04880142,-84.6678009,896,US,US-KY,Cincinnati,N,Y,Y,Y,N,Y,Y,Y,Y,N,7
KCLE,3454,KCLE,large_airport,Cleveland Hopkins International Airport,Focus,41.4117012,-81.84980011,791,US,US-OH,Cleveland,N,Y,Y,Y,Y,Y,Y,Y,Y,N,8
KTOL,3925,KTOL,large_airport,Toledo Express Airport,,41.58679962,-83.80780029,683,US,US-OH,Toledo,N,Y,Y,N,N,N,N,Y,N,N,3
KTUL,3930,KTUL,large_airport,Tulsa International Airport,,36.19839859,-95.88809967,677,US,US-OK,Tulsa,N,Y,Y,Y,N,Y,Y,Y,Y,N,7
KMDT,3672,KMDT,medium_airport,Harrisburg International Airport,,40.19350052,-76.76339722,310,US,US-PA,Harrisburg,N,Y,Y,Y,N,Y,Y,Y,N,N,6
KTYS,3938,KTYS,large_airport,McGhee Tyson Airport,Focus,35.81100082,-83.9940033,981,US,US-TN,Knoxville,N,Y,Y,Y,N,Y,Y,Y,N,N,6
KMEM,3675,KMEM,large_airport,Memphis International Airport,,35.04240036,-89.97669983,341,US,US-TN,Memphis,N,Y,Y,Y,N,Y,Y,Y,Y,N,7
KHOU,3588,KHOU,large_airport,William P Hobby Airport,Hub,29.64539909,-95.27890015,46,US,US-TX,Houston Hobby,N,Y,Y,N,N,Y,N,N,Y,N,4
TISX,6370,TISX,medium_airport,Henry E Rohlsen Airport,,17.70190048,-64.79859924,74,VI,VI-U-A,Christiansted,N,Y,N,N,N,Y,N,N,N,N,2
TIST,6369,TIST,medium_airport,Cyril E. King Airport,,18.33729935,-64.9733963,23,VI,VI-U-A,"Charlotte Amalie, Harry S. Truman Airport",N,Y,N,N,Y,Y,Y,N,N,N,4
KORF,3755,KORF,large_airport,Norfolk International Airport,,36.89459991,-76.20120239,26,US,US-VA,Norfolk,N,Y,Y,Y,N,Y,Y,Y,Y,N,7
KRIC,3847,KRIC,large_airport,Richmond International Airport,,37.50519943,-77.31970215,167,US,US-VA,Richmond,N,Y,Y,N,Y,Y,Y,Y,Y,N,7
KJAC,3618,KJAC,medium_airport,Jackson Hole Airport,,43.6072998,-110.737999,6451,US,US-WY,Jackson,N,Y,N,Y,N,Y,Y,Y,N,N,5
KABE,3356,KABE,medium_airport,Lehigh Valley International Airport,,40.65209961,-75.44080353,393,US,US-PA,Allentown,N,N,Y,N,N,Y,N,Y,N,N,3
KATW,19320,KATW,small_airport,Appleton International Airport,,44.2580986,-88.51909637,918,US,US-WI,Appleton,N,N,Y,N,N,Y,N,Y,N,N,3
KAVL,3387,KAVL,large_airport,Asheville Regional Airport,Focus,35.43619919,-82.54180145,2165,US,US-NC,Asheville,N,N,Y,N,N,Y,N,Y,N,N,3
KBGR,3405,KBGR,large_airport,Bangor International Airport,,44.80739975,-68.82810211,192,US,US-ME,Bangor,N,N,Y,N,N,N,N,Y,N,N,2
KBLV,3417,KBLV,large_airport,Scott AFB/Midamerica Airport,,38.5452,-89.835197,459,US,US-IL,Belleville,N,N,Y,N,N,N,N,N,N,N,1
KBIL,3408,KBIL,large_airport,Billings Logan International Airport,,45.80770111,-108.5429993,3652,US,US-MT,Billings,N,N,Y,Y,N,Y,Y,Y,N,N,5
